text,likes,retweets,is_trending
NASA discovers water on Mars #trending,13002,3235,0
Movie premiere breaks box office #sports,25766,7937,1
Rare eclipse this weekend #news,41553,1971,0
AI beats human at chess #AI,37490,12417,1
Olympics 2028 host announced #health,25383,19447,1
UN votes on climate resolution #tech,19754,11333,1
K-pop band breaks YouTube record #space,19944,5638,1
Google launches new AI model #trending,10075,17990,1
Olympics 2028 host announced #AI,35311,868,0
Google launches new AI model #news,13549,22090,1
Climate change summit 2025 #trending,2425,14874,0
Taylor Swift releases new album #space,8774,6536,0
Olympics 2028 host announced #news,24628,21926,1
Bitcoin hits new ATH #AI,17605,14663,1
Twitter introduces paid features #music,4666,15767,0
Amazon expands to Africa #health,543,9062,0
Climate change summit 2025 #sports,13180,5909,1
NASA discovers water on Mars #news,29251,6595,1
ChatGPT gets upgraded #music,44753,2189,0
Bitcoin hits new ATH #space,44238,11587,1
New electric vehicle by Tesla #space,44976,23366,1
Google launches new AI model #AI,42016,7150,1
Meta unveils VR glasses #news,25101,5907,1
Bitcoin hits new ATH #crypto,48474,10608,1
Bitcoin hits new ATH #crypto,43789,14333,1
NASA discovers water on Mars #health,36370,18131,1
UN votes on climate resolution #crypto,43859,12971,1
ChatGPT gets upgraded #trending,20974,16489,1
Climate change summit 2025 #news,15087,1047,0
Bitcoin hits new ATH #crypto,8446,20417,0
Rare eclipse this weekend #crypto,11429,20117,1
Rare eclipse this weekend #crypto,42505,23137,1
Rare eclipse this weekend #crypto,8201,10848,0
AI beats human at chess #music,28249,11248,1
Rare eclipse this weekend #trending,35659,22125,1
New electric vehicle by Tesla #AI,12026,4622,0
Meta unveils VR glasses #music,17184,8983,1
Meta unveils VR glasses #news,16846,15894,1
New electric vehicle by Tesla #sports,37643,9908,1
Climate change summit 2025 #news,37724,3394,0
K-pop band breaks YouTube record #health,26312,16567,1
New COVID variant detected #crypto,16103,20553,1
New electric vehicle by Tesla #trending,35034,10236,1
NASA discovers water on Mars #sports,44437,2433,1
Rare eclipse this weekend #news,11989,6501,1
Twitter introduces paid features #sports,15173,23021,1
New COVID variant detected #music,21831,16613,1
UN votes on climate resolution #news,44231,5804,1
Bitcoin hits new ATH #music,40401,12162,1
ChatGPT gets upgraded #trending,29427,20375,1
Google launches new AI model #news,37317,10282,1
Meta unveils VR glasses #space,17261,23979,1
Twitter introduces paid features #AI,18789,21224,1
Olympics 2028 host announced #music,1445,6928,0
Apple announces foldable iPhone #sports,9732,21064,1
Apple announces foldable iPhone #health,15335,3497,0
K-pop band breaks YouTube record #sports,39867,20143,1
Apple announces foldable iPhone #AI,38402,21164,1
Amazon expands to Africa #sports,22214,14124,1
K-pop band breaks YouTube record #breaking,26598,13835,1
Amazon expands to Africa #music,15657,18407,1
Stock market crashes #space,46410,24763,1
Twitter introduces paid features #trending,6312,13038,0
SpaceX lands booster successfully #breaking,26824,1864,1
Bitcoin hits new ATH #health,35362,21196,1
New electric vehicle by Tesla #sports,29543,4460,0
Taylor Swift releases new album #breaking,44600,18639,1
Olympics 2028 host announced #news,41475,3003,0
Twitter introduces paid features #health,21118,8070,1
ChatGPT gets upgraded #health,22727,9074,1
New COVID variant detected #AI,3777,23512,0
Amazon expands to Africa #breaking,29391,6233,1
NASA discovers water on Mars #sports,24085,11149,1
New electric vehicle by Tesla #sports,41677,3676,0
Movie premiere breaks box office #sports,31878,994,0
Amazon expands to Africa #tech,11196,9517,1
New COVID variant detected #crypto,1137,17150,1
SpaceX lands booster successfully #news,39051,12632,1
